# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"9","A9","2","2","17","222695.89","592315.8","299336.03"
"9","A9","2","2","18","237321.31","593898.5","299637.6"
"9","A9","2","2","19","259128.98","594644.2","300390.97"
"9","A9","2","2","20","288131.97","596503.7","300868.56"
"9","A9","2","2","21","322141.78","596743.44","301854.6"
"9","A9","2","2","22","358828.28","596632.5","303186.88"
"9","A9","2","2","23","393794.12","598019.75","305007.03"
"9","A9","2","2","24","425568.3","599383.2","305947.7"
"9","A9","2","2","25","451972.2","601342.44","306503.47"
"9","A9","2","2","26","473022.12","602909.3","307406.75"
"9","A9","2","2","27","488575.53","605751.8","308146.8"
"9","A9","2","2","28","499777.38","610384.8","308512.84"
"9","A9","2","2","29","506534.66","618705.56","308531.06"
"9","A9","2","2","30","510937.5","632944.75","309039.22"
"9","A9","2","2","31","515338.22","657085.3","309194.7"
"9","A9","2","2","32","518089.03","701909.44","308908.6"
"9","A9","2","2","33","520360.22","770211.0","308916.12"
"9","A9","2","2","34","522105.34","868114.4","308968.34"
"9","A9","2","2","35","523756.44","990606.8","309160.7"
"9","A9","2","2","36","524275.12","1132647.0","308968.72"
"9","A9","2","2","37","525602.56","1284696.4","308761.72"
"9","A9","2","2","38","525532.25","1442153.6","308829.53"
