# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"6","A6","2","2","23","678875.1","1105335.5","451752.2"
"6","A6","2","2","24","698253.75","1105880.4","451671.72"
"6","A6","2","2","25","710841.5","1109427.6","451928.78"
"6","A6","2","2","26","719523.75","1113736.8","452680.06"
"6","A6","2","2","27","728745.0","1118216.5","453442.88"
"6","A6","2","2","28","731854.1","1130651.1","453307.72"
"6","A6","2","2","29","734790.6","1153932.9","453020.38"
"6","A6","2","2","30","735690.06","1196040.0","452587.47"
"6","A6","2","2","31","737789.5","1273730.2","452420.62"
"6","A6","2","2","32","739861.5","1412995.9","452953.88"
"6","A6","2","2","33","738788.7","1628069.8","452612.1"
"6","A6","2","2","34","738655.9","1899426.6","452071.56"
"6","A6","2","2","35","737553.5","2191055.0","451057.56"
"6","A6","2","2","36","738871.5","2471581.8","449759.56"
"6","A6","2","2","37","738463.1","2722980.0","449367.78"
"6","A6","2","2","38","738078.56","2941006.5","449733.1"
"6","A6","2","2","39","738010.5","3130548.0","450426.62"
"6","A6","2","2","40","739778.56","3270022.2","452008.78"
"7","A7","2","2","1","410192.97","1266782.0","612129.3"
"7","A7","2","2","2","411551.62","1270717.8","613387.7"
"7","A7","2","2","3","416229.66","1286016.4","619468.7"
"7","A7","2","2","4","421928.1","1303660.5","623914.56"
"7","A7","2","2","5","427594.1","1324095.5","629917.6"
"7","A7","2","2","6","432906.22","1343536.6","635508.7"
"7","A7","2","2","7","436853.88","1358996.6","638572.5"
"7","A7","2","2","8","440166.56","1368697.8","640748.5"
"7","A7","2","2","9","442311.28","1376149.8","641965.25"
"7","A7","2","2","10","444200.62","1381540.9","642726.25"
"7","A7","2","2","11","446540.12","1382895.4","642769.75"
"7","A7","2","2","12","449303.22","1383863.8","642370.4"
"7","A7","2","2","13","452188.4","1389832.5","641845.5"
"7","A7","2","2","14","458082.16","1391475.5","641682.5"
"7","A7","2","2","15","469074.66","1392961.9","641389.7"
"7","A7","2","2","16","488251.03","1393458.6","642119.2"
"7","A7","2","2","17","518544.2","1394943.1","642963.25"
"7","A7","2","2","18","564552.6","1395525.2","643135.75"
"7","A7","2","2","19","625473.8","1396742.6","644948.56"
"7","A7","2","2","20","698055.2","1396580.8","645840.56"
"7","A7","2","2","21","770788.75","1398385.6","646723.7"
"7","A7","2","2","22","842742.7","1400251.0","648768.25"
"7","A7","2","2","23","909933.9","1402154.9","649318.1"
"7","A7","2","2","24","967164.7","1402372.5","651310.0"
"7","A7","2","2","25","1015856.8","1406089.8","652604.3"
"7","A7","2","2","26","1053817.9","1412024.0","653561.7"
"7","A7","2","2","27","1080434.4","1422020.9","654234.75"
"7","A7","2","2","28","1099788.9","1442764.4","654767.94"
"7","A7","2","2","29","1112238.0","1476524.5","654941.1"
"7","A7","2","2","30","1120316.5","1539963.8","655386.25"
"7","A7","2","2","31","1126133.8","1645581.5","654858.3"
"7","A7","2","2","32","1131169.2","1806910.5","654159.56"
"7","A7","2","2","33","1132950.1","2030993.8","654053.6"
"7","A7","2","2","34","1133188.0","2309515.0","654225.94"
"7","A7","2","2","35","1133612.5","2626232.2","653959.3"
"7","A7","2","2","36","1135899.6","2963141.5","653235.0"
"7","A7","2","2","37","1136143.4","3305611.2","652524.06"
"7","A7","2","2","38","1135413.5","3643838.8","652238.3"
"7","A7","2","2","39","1136379.4","3964018.0","652028.1"
"7","A7","2","2","40","1137121.4","4218512.0","651900.7"
"8","A8","2","2","1","352424.84","1096256.1","514425.88"
"8","A8","2","2","2","354048.4","1102673.9","516667.3"
"8","A8","2","2","3","358780.56","1119457.1","522284.1"
"8","A8","2","2","4","363524.1","1134399.2","525175.6"
"8","A8","2","2","5","365951.66","1141433.5","524680.2"
"8","A8","2","2","6","367586.38","1146491.0","524291.9"
"8","A8","2","2","7","368555.75","1150831.9","524737.5"
"8","A8","2","2","8","369651.94","1153011.8","524549.9"
"8","A8","2","2","9","370576.72","1155927.8","524187.4"
"8","A8","2","2","10","372426.34","1158929.8","523353.28"
"8","A8","2","2","11","375124.84","1159651.9","523077.47"
"8","A8","2","2","12","378715.7","1160543.9","523764.7"
"8","A8","2","2","13","384826.88","1161592.6","523752.9"
"8","A8","2","2","14","395678.3","1163674.1","523517.97"
"8","A8","2","2","15","414251.16","1165436.6","524041.84"
"8","A8","2","2","16","444423.12","1166559.5","524927.9"
"8","A8","2","2","17","488709.38","1167967.9","524827.1"
"8","A8","2","2","18","543859.2","1168727.1","525131.4"
"8","A8","2","2","19","604866.4","1168866.0","526907.1"
"8","A8","2","2","20","666204.25","1170969.9","528109.3"
"8","A8","2","2","21","723336.75","1173277.6","528726.75"
"8","A8","2","2","22","773283.6","1173728.8","529989.44"
"8","A8","2","2","23","812975.56","1177064.8","531279.5"
"8","A8","2","2","24","842552.56","1181396.5","531999.2"
"8","A8","2","2","25","863314.1","1188152.1","532908.4"
"8","A8","2","2","26","877946.2","1198913.4","533713.6"
"8","A8","2","2","27","886439.44","1219021.8","533721.25"
"8","A8","2","2","28","892002.56","1256645.5","533403.5"
"8","A8","2","2","29","895235.06","1325980.8","532949.4"
"8","A8","2","2","30","898005.6","1440888.0","532605.9"
"8","A8","2","2","31","900699.1","1623442.2","531697.4"
"8","A8","2","2","32","901383.2","1871268.5","531211.6"
"8","A8","2","2","33","901706.9","2176744.0","531391.94"
"8","A8","2","2","34","899478.2","2515768.5","530998.3"
"8","A8","2","2","35","897235.06","2867245.2","529987.7"
"8","A8","2","2","36","896591.2","3207994.8","527833.0"
"8","A8","2","2","37","894791.6","3526574.0","527360.44"
