# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","TAMRA","FAM","ROX"
"5","A5","2","2","12","976206.7","551075.9","443079.66","342566.75"
"5","A5","2","2","13","1022733.75","569965.06","462980.53","354805.2"
"5","A5","2","2","14","1057944.2","571520.25","467250.44","356814.84"
"5","A5","2","2","15","1101950.5","567329.6","469216.1","358541.06"
"5","A5","2","2","16","1159465.5","562978.0","472033.44","361725.7"
"5","A5","2","2","17","1226617.0","558582.75","473125.88","363722.1"
"5","A5","2","2","18","1298985.5","553070.6","473757.84","366747.34"
"5","A5","2","2","19","1372464.8","546093.9","475916.56","368984.84"
"5","A5","2","2","20","1443516.0","540610.75","478286.06","370542.44"
"5","A5","2","2","21","1506430.8","535223.4","483537.1","372490.56"
"5","A5","2","2","22","1563241.0","531222.56","494475.22","374303.78"
"5","A5","2","2","23","1607778.8","527358.7","513952.28","376128.3"
"5","A5","2","2","24","1643122.6","524718.4","552690.1","377333.78"
"5","A5","2","2","25","1670445.8","523022.0","623513.8","377857.94"
"5","A5","2","2","26","1689093.5","521168.8","745090.0","377508.5"
"5","A5","2","2","27","1700721.8","519789.1","932824.0","379074.78"
"5","A5","2","2","28","1707465.4","518865.06","1200831.5","379151.44"
"5","A5","2","2","29","1713452.1","518117.34","1530568.5","378633.7"
"5","A5","2","2","30","1716523.9","519015.9","1893766.6","376921.16"
"5","A5","2","2","31","1719336.6","519275.47","2260022.0","375548.97"
"5","A5","2","2","32","1722404.4","519228.44","2608749.2","375326.1"
"5","A5","2","2","33","1725099.8","519430.34","2928636.0","375969.38"
"5","A5","2","2","34","1724547.5","520631.5","3206012.8","375204.4"
"5","A5","2","2","35","1727227.8","520812.06","3441792.8","374583.5"
"5","A5","2","2","36","1728884.5","520220.8","3640178.8","373655.03"
"5","A5","2","2","37","1731268.9","520974.97","3793308.2","373602.12"
"5","A5","2","2","38","1736122.1","520267.75","3911740.5","373783.2"
"5","A5","2","2","39","1741092.8","519716.22","4006693.2","373213.5"
"5","A5","2","2","40","1744371.0","519736.62","4069381.2","373807.97"
"6","A6","2","2","1","1324839.9","785803.44","652218.2","464217.7"
"6","A6","2","2","2","1314491.1","777526.75","644614.3","459844.38"
"6","A6","2","2","3","1288200.8","758110.1","626797.0","448082.2"
"6","A6","2","2","4","1264495.8","741466.75","611136.0","439553.56"
"6","A6","2","2","5","1244900.2","729762.4","598658.8","432726.44"
"6","A6","2","2","6","1233404.6","721749.06","591506.7","428220.0"
"6","A6","2","2","7","1227455.9","715232.1","586880.06","425593.72"
"6","A6","2","2","8","1223375.4","711823.1","586133.6","424188.06"
"6","A6","2","2","9","1223711.8","709149.2","586983.75","424381.4"
"6","A6","2","2","10","1228827.2","707409.06","588428.06","426004.97"
"6","A6","2","2","11","1232637.9","706502.1","590850.9","425764.34"
"6","A6","2","2","12","1238101.4","706396.0","595885.7","425692.7"
"6","A6","2","2","13","1252169.4","705078.1","605100.25","426605.3"
"6","A6","2","2","14","1277335.4","703288.25","623585.1","427523.72"
"6","A6","2","2","15","1313941.8","701639.56","658417.25","428362.0"
"6","A6","2","2","16","1362579.8","698952.44","723725.2","429398.2"
"6","A6","2","2","17","1422359.2","695190.0","839592.8","430530.0"
"6","A6","2","2","18","1486054.5","689737.94","1021694.1","432316.22"
"6","A6","2","2","19","1554047.6","685405.56","1274462.9","434058.94"
"6","A6","2","2","20","1615576.0","680264.5","1581805.8","435888.03"
"6","A6","2","2","21","1670647.5","677840.75","1912801.6","436238.4"
"6","A6","2","2","22","1717475.9","674252.44","2251133.0","435921.06"
"6","A6","2","2","23","1765479.5","668940.9","2573301.8","436024.97"
"6","A6","2","2","24","1809784.9","665260.7","2864940.8","437266.72"
"6","A6","2","2","25","1850938.9","662453.44","3126096.0","437573.25"
"6","A6","2","2","26","1884834.8","660253.0","3354269.2","437395.03"
"6","A6","2","2","27","1916604.6","654933.0","3548166.0","438298.7"
"6","A6","2","2","28","1948167.5","651038.9","3705017.2","440564.88"
"6","A6","2","2","29","1976478.4","648905.7","3834265.8","441116.62"
"6","A6","2","2","30","1998493.9","646704.06","3940812.0","440896.8"
"6","A6","2","2","31","2019827.6","645489.06","4019734.2","441126.34"
"6","A6","2","2","32","2038976.9","643545.2","4084959.8","440937.28"
"6","A6","2","2","33","2054842.1","642291.5","4131755.0","441183.7"
"6","A6","2","2","34","2069804.6","639623.4","4167789.5","441530.84"
"6","A6","2","2","35","2084825.4","636922.9","4192304.2","441423.38"
"6","A6","2","2","36","2096039.2","634685.25","4215971.0","441860.34"
"6","A6","2","2","37","2106838.2","634181.9","4234716.5","441570.0"
"6","A6","2","2","38","2117160.8","634031.75","4249251.0","441473.5"
"6","A6","2","2","39","2125044.2","632851.94","4268218.0","442676.8"
"6","A6","2","2","40","2130266.8","632546.75","4279450.0","442643.94"
"7","A7","2","2","1","662675.06","389861.6","309432.44","236088.88"
"7","A7","2","2","2","662850.75","389888.56","308909.72","236316.95"
"7","A7","2","2","3","666470.2","391278.12","308813.1","239370.08"
"7","A7","2","2","4","677486.3","397482.75","310610.66","243383.75"
"7","A7","2","2","5","697305.1","407879.47","316950.03","249054.55"
"7","A7","2","2","6","721536.94","422078.78","326024.84","257965.83"
"7","A7","2","2","7","750395.5","439583.47","337344.22","269077.56"
"7","A7","2","2","8","786027.75","458025.6","352362.28","280714.0"
"7","A7","2","2","9","822932.5","477991.97","367301.7","292733.16"
"7","A7","2","2","10","861259.4","500438.12","387374.75","305349.94"
"7","A7","2","2","11","907805.0","522660.3","407480.34","318879.53"
"7","A7","2","2","12","957887.5","543791.5","429977.62","333607.62"
"7","A7","2","2","13","1011847.1","565862.44","456327.8","347747.1"
"7","A7","2","2","14","1076623.2","586101.0","490162.47","360473.0"
"7","A7","2","2","15","1158498.9","606257.1","536472.7","375175.8"
"7","A7","2","2","16","1242601.5","620625.5","596229.5","386700.4"
"7","A7","2","2","17","1312715.5","619814.4","704371.56","390337.0"
"7","A7","2","2","18","1379693.0","615840.4","879668.7","392491.25"
"7","A7","2","2","19","1444919.8","611702.94","1126054.9","393859.88"
"7","A7","2","2","20","1506473.9","607787.56","1431291.6","394995.8"
"7","A7","2","2","21","1560923.8","602860.7","1771671.4","396068.5"
"7","A7","2","2","22","1611570.6","599923.7","2115722.5","397248.9"
"7","A7","2","2","23","1655967.2","596061.75","2445004.2","396794.06"
"7","A7","2","2","24","1697349.9","592097.06","2749451.2","397779.56"
"7","A7","2","2","25","1734840.5","589455.56","3013023.2","398247.88"
"7","A7","2","2","26","1765888.8","585782.6","3244497.2","398359.3"
"7","A7","2","2","27","1795358.4","582737.25","3436688.0","399730.88"
"7","A7","2","2","28","1819969.4","580732.5","3594264.5","399504.38"
"7","A7","2","2","29","1842475.0","578825.6","3721836.2","398721.16"
"7","A7","2","2","30","1861429.2","577152.9","3818177.5","398639.38"
"7","A7","2","2","31","1876707.2","575838.0","3895833.5","399176.78"
"7","A7","2","2","32","1892300.1","574240.9","3952077.0","399269.94"
"7","A7","2","2","33","1906732.8","572631.44","3997730.0","399297.9"
"7","A7","2","2","34","1917752.1","570915.44","4028078.5","399879.1"
"7","A7","2","2","35","1928836.6","567702.8","4052925.2","399524.28"
"7","A7","2","2","36","1938158.5","566028.56","4073435.0","401044.78"
"7","A7","2","2","37","1946469.6","565993.4","4090279.0","400633.4"
"7","A7","2","2","38","1955362.6","565003.0","4104637.8","400643.34"
"7","A7","2","2","39","1960059.6","564409.75","4117965.5","400258.6"
"7","A7","2","2","40","1966495.6","563257.6","4128841.2","400358.94"
"8","A8","2","2","1","1440923.8","860983.56","703994.2","504222.06"
"8","A8","2","2","2","1429845.0","853418.4","697571.4","498954.6"
"8","A8","2","2","3","1402183.2","830877.25","679681.25","488234.75"
"8","A8","2","2","4","1376450.2","812989.4","662397.7","478660.9"
"8","A8","2","2","5","1357309.8","799296.25","648249.4","470982.06"
"8","A8","2","2","6","1343608.6","788585.06","639586.5","466235.94"
"8","A8","2","2","7","1334486.1","782703.06","634941.75","462321.6"
"8","A8","2","2","8","1331007.8","778754.3","632219.5","460058.28"
"8","A8","2","2","9","1330669.0","776512.44","630560.8","459203.7"
"8","A8","2","2","10","1331910.1","774025.7","630633.1","459154.94"
"8","A8","2","2","11","1335835.4","772262.9","632799.8","459511.44"
"8","A8","2","2","12","1342478.9","769854.4","636602.3","459905.53"
"8","A8","2","2","13","1356597.5","768495.44","642381.44","460427.4"
"8","A8","2","2","14","1382660.8","767047.7","653326.06","460064.03"
"8","A8","2","2","15","1423787.5","763395.56","675971.06","460362.34"
"8","A8","2","2","16","1479155.1","760210.2","718921.3","462510.62"
"8","A8","2","2","17","1543270.2","756283.56","799221.56","464003.47"
"8","A8","2","2","18","1614356.5","753039.44","936130.4","465773.9"
"8","A8","2","2","19","1683428.5","748813.94","1146577.9","467391.0"
"8","A8","2","2","20","1751536.6","743564.44","1431108.0","468658.72"
"8","A8","2","2","21","1814081.0","739129.25","1770281.6","469856.84"
"8","A8","2","2","22","1871759.4","733807.3","2133444.8","470691.78"
"8","A8","2","2","23","1921875.6","730421.75","2493472.5","470624.53"
"8","A8","2","2","24","1968539.6","727571.3","2834274.5","470857.66"
"8","A8","2","2","25","2007130.6","723426.1","3145252.5","471337.62"
"8","A8","2","2","26","2044181.2","718846.4","3420018.8","471478.9"
"8","A8","2","2","27","2077795.2","716167.4","3656897.5","472335.66"
"8","A8","2","2","28","2107557.2","713719.1","3860839.8","472556.56"
"8","A8","2","2","29","2134526.5","709992.94","4025361.5","472317.3"
"8","A8","2","2","30","2155562.8","707632.7","4157449.5","472360.38"
"8","A8","2","2","31","2175567.8","706232.1","4264058.0","472497.28"
"8","A8","2","2","32","2195340.5","704014.06","4339034.5","473687.5"
"8","A8","2","2","33","2209146.0","701430.25","4391538.5","472688.28"
"8","A8","2","2","34","2227265.0","699656.06","4433471.5","472180.38"
"8","A8","2","2","35","2239245.2","697634.5","4463350.5","472522.25"
"8","A8","2","2","36","2249208.0","696504.3","4488619.5","472615.5"
"8","A8","2","2","37","2259200.8","695352.1","4504358.0","473587.0"
"8","A8","2","2","38","2268158.0","694803.4","4520338.0","473364.3"
