gene_id,logFC,pvalue,fdr,significant,comparison
IFIT3,2.0284014659182255,3.3976910362350078e-9,2.0316493551167227e-5,TRUE,WT_vs_severe
IFIT2,1.2708263381811815,3.4086539774545407e-4,0.10452331517020218,TRUE,WT_vs_severe
GPAM,-0.022768671788997934,0.7423029060632962,0.9484879044507332,FALSE,WT_vs_severe
CUTC,0.031635139086366115,0.5853902865153839,0.911872424577257,FALSE,WT_vs_severe
PYROXD2,-0.34245361267423013,0.08506035923090241,0.5976714665348778,FALSE,WT_vs_severe
MXI1,0.23557622327954916,0.007000585893117426,0.3452911019568989,FALSE,WT_vs_severe
SMNDC1,0.07186231313533673,0.2742335780035671,0.7903961452175862,FALSE,WT_vs_severe
C10orf88,0.024944718501621704,0.8402369267995685,0.9685851299511489,FALSE,WT_vs_severe
HELLS,0.0510730098189939,0.37271725445638937,0.8414816065322365,FALSE,WT_vs_severe
TCTN3,0.06456937183501582,0.2352550070785931,0.7630240605147589,FALSE,WT_vs_severe
DENND10,0.03804608034274326,0.588736448864522,0.9123082002476277,FALSE,WT_vs_severe
AVPI1,0.009000471993933582,0.8687513661274582,0.9746312095830879,FALSE,WT_vs_severe
WDR11,-0.020526245621712885,0.780505322719478,0.9581259653461546,FALSE,WT_vs_severe
ARMH3,0.009608321868732783,0.8551971342500407,0.9725813889158147,FALSE,WT_vs_severe
GOT1,0.06691423828729515,0.08913193730345893,0.6011577569524597,FALSE,WT_vs_severe
C10orf95,-0.04120251146230826,0.7629414967791629,0.9531986376913925,FALSE,WT_vs_severe
GNA13,-0.07286276461116473,0.19179998138053406,0.7256372416373051,FALSE,WT_vs_severe
HOXB8,0.04637447267370782,0.4120765335486557,0.8565755047801651,FALSE,WT_vs_severe
KANSL1,0.019730592900507528,0.875089113159945,0.9748631820677569,FALSE,WT_vs_severe
HOXB5,-0.16442812389795336,0.11874109211069098,0.6544072509343098,FALSE,WT_vs_severe
HOXB3,-0.03562080769514167,0.7574386700934888,0.9516040880624598,FALSE,WT_vs_severe
DUSP1,0.1207556391066476,0.012468995213079065,0.40301814527895286,FALSE,WT_vs_severe
PANK3,0.0817595485641252,0.3917780908825317,0.8488892496285119,FALSE,WT_vs_severe
RCL1,0.031157663466908823,0.43856318243421,0.8647816082206499,FALSE,WT_vs_severe
CAAP1,0.028873017621933488,0.56717070333108,0.9052615468053359,FALSE,WT_vs_severe
MOB3B,0.11663973827154091,0.19313979615461666,0.7256372416373051,FALSE,WT_vs_severe
CD274,0.08305341643491043,0.34444256433662646,0.8286438597669916,FALSE,WT_vs_severe
NUP43,0.03394539096090433,0.6448668872798011,0.9279224046419373,FALSE,WT_vs_severe
MTHFD1L,0.06697534086999056,0.15768289145018657,0.6956480524439942,FALSE,WT_vs_severe
LRP11,0.05375404073741597,0.5370491720527704,0.8918591189124434,FALSE,WT_vs_severe
PCMT1,0.06201661394479143,0.4369531212350417,0.8646572456376673,FALSE,WT_vs_severe
CYSTM1,-0.0012417761451900195,0.9723224136687261,0.9929417451674649,FALSE,WT_vs_severe
WDR55,-0.013676743539899916,0.6772819778835473,0.9369357672801419,FALSE,WT_vs_severe
ARAP3,-0.06911921408333134,0.15584163149592706,0.6941481664590623,FALSE,WT_vs_severe
MRPS14,0.012448274505827747,0.8369330347673273,0.9685582682311078,FALSE,WT_vs_severe
CENPL,-0.09230079473743463,0.2883079093070482,0.7966683760572144,FALSE,WT_vs_severe
SEC16B,0.1293645542067468,0.65317821372158,0.9294653272230331,FALSE,WT_vs_severe
GORAB,-0.04800709319425013,0.6430945567035221,0.9270123535439472,FALSE,WT_vs_severe
ACAT2,8.774432000370105e-4,0.9769271984173213,0.9945625742214582,FALSE,WT_vs_severe
TCP1,-0.021708173839372985,0.5287300701035643,0.8901293328865859,FALSE,WT_vs_severe
SNX19,0.013794649531276912,0.7513503710180481,0.9498977280514581,FALSE,WT_vs_severe
MSANTD2,-0.2383620902800449,0.07015605866861799,0.571523368949593,FALSE,WT_vs_severe
PDZD11,0.09379457718563455,0.10868683500033217,0.635903062509282,FALSE,WT_vs_severe
SLC10A7,0.1576868794504042,0.3804783139935376,0.8443384963905579,FALSE,WT_vs_severe
NUDCD1,-0.0674077964901193,0.46765439770008355,0.8701212592775517,FALSE,WT_vs_severe
ENY2,0.07732987375904782,0.13814066944059786,0.6781161923134649,FALSE,WT_vs_severe
MASTL,0.03693661253233984,0.49055651736490846,0.8767439443924979,FALSE,WT_vs_severe
KIAA1217,-0.05678799578793062,0.5329214158037654,0.8918591189124434,FALSE,WT_vs_severe
EPC1,0.04205722255609949,0.7099437444259606,0.9397913503350612,FALSE,WT_vs_severe
CCDC77,-0.0014546255966841298,0.9803572142677623,0.995730101972235,FALSE,WT_vs_severe
TAF12,0.11760550305931482,0.11359465560791415,0.6456646798550596,FALSE,WT_vs_severe
ENOX1,-0.17956163347960102,0.22391372042302776,0.7517642286746179,FALSE,WT_vs_severe
MTRF1,0.0032519967986794894,0.9728183304049016,0.9929760496413864,FALSE,WT_vs_severe
DNAJC15,0.02335947431171145,0.7329347883399152,0.9452353212290571,FALSE,WT_vs_severe
PROSER1,-0.054849246111963346,0.4411524776585656,0.8658694371112401,FALSE,WT_vs_severe
UFM1,0.011374036334387896,0.8718463681116028,0.9746312095830879,FALSE,WT_vs_severe
WBP4,0.039126767995860234,0.5499679372702453,0.896884485651124,FALSE,WT_vs_severe
ELF1,0.010995396377232177,0.7633025915894911,0.953350986195167,FALSE,WT_vs_severe
SMAD9,-0.07675374926343402,0.5037864173341525,0.8813331548344535,FALSE,WT_vs_severe
HSPH1,0.04410144456782782,0.28567706352936945,0.7950743206525391,FALSE,WT_vs_severe
KBTBD7,0.1428357171003512,0.05283721345601145,0.5391469588058371,FALSE,WT_vs_severe
